Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
1.941131592,51.06065,-124.6229,-110.6467,-0.01540089,0.4096608,0.0442493,-8.571752,-45.79414,-5.763313,1029.458
1.961299419,-2.65539,-112.4254,-115.5285,0.000140464,0.4446067,0.1777441,-8.571752,-45.79414,-5.763313,1029.46
1.978945732,-86.44006,-94.09917,-80.74532,0.07137316,0.607685,0.1978533,-8.571752,-45.79414,-5.763313,1029.46
1.999113083,-146.4538,-99.68718,-61.52303,0.1052078,0.9614158,0.04919924,-5.848855,-48.42484,-2.992153,1029.46
2.019280910,-113.0511,-112.7259,-88.12912,0.2013126,1.003463,-0.1826977,-5.848855,-48.42484,-2.992153,1029.46
2.039448261,-36.24335,-146.7346,-128.4044,0.1784087,1.020971,0.01787104,-3.441593,-47.9318,-7.939245,1029.46
2.059616089,7.902589,-161.0951,-152.8747,0.1734385,1.061119,-0.01843696,-3.441593,-47.9318,-7.939245,1029.46
2.079783916,12.16283,-161.0951,-142.0736,0.09740133,1.111585,-0.003573488,-3.441593,-47.9318,-7.939245,1029.462
2.099951267,0.925679,-158.5715,-139.2055,-0.01443649,1.132532,-0.07051271,-1.520483,-47.49699,-9.692211,1029.462
2.120119095,-24.26529,-181.4643,-131.6996,0.02592649,1.232495,-0.1189199,-1.520483,-47.49699,-9.692211,1029.462
2.140285969,-34.88501,-189.636,-126.0245,0.03131073,1.265504,-0.1514917,1.577946,-48.95785,-9.205561,1029.462
2.160453796,-35.93464,-173.8935,-117.2372,-0.0537166,1.212046,-0.2657952,1.577946,-48.95785,-9.205561,1029.461
2.180621147,-56.06272,-142.3483,-80.56225,-0.1163851,1.188494,-0.2162925,3.97478,-49.65001,-10.51597,1029.461
2.200788975,-99.8382,-119.9963,-26.06859,-0.1049013,1.18753,-0.2930059,3.97478,-49.65001,-10.51597,1029.461
2.220956802,-205.6032,-101.5498,33.73409,-0.1625367,1.239515,-0.3957996,3.97478,-49.65001,-10.51597,1029.461
2.241124153,-236.2275,-159.8333,47.40327,-0.1373649,1.236782,-0.1723679,5.956686,-50.76608,-13.18523,1029.463
2.261291981,-316.6164,-147.8762,63.87951,-0.03422077,1.198942,0.1089177,5.956686,-50.76608,-13.18523,1029.463
2.278938770,-381.2609,-136.5199,77.73176,-0.01915615,1.293945,0.2176432,4.133148,-49.4497,-23.06961,1029.465
2.299105644,-406.0814,-136.0993,46.48792,0.01790395,1.272559,0.3345474,4.133148,-49.4497,-23.06961,1029.465
2.319273472,-457.3277,-100.6486,22.44481,0.09991453,1.111706,0.573563,4.133148,-49.4497,-23.06961,1029.467
2.339441776,-491.7183,-64.41666,17.37988,0.1774441,0.9869472,0.6473448,-2.048478,-43.62941,-37.01236,1029.467
2.359608650,-516.1066,-33.83284,20.00388,0.2089286,0.9298709,0.8701098,-2.048478,-43.62941,-37.01236,1029.468
2.379776478,-540.001,-2.107395,38.55491,0.2138981,0.9081748,0.9579641,-6.593502,-29.46502,-49.98245,1029.468
2.399943828,-542.409,2.038544,66.13737,0.3168346,0.884086,1.079339,-6.593502,-29.46502,-49.98245,1029.47
2.420111656,-497.1517,-5.472215,86.39705,0.3664168,0.8363127,1.086173,-9.613778,-5.549731,-51.96741,1029.47
