Time (s),Roll (deg),Pitch (deg),Yaw (deg)
10.739227295,36.34671,-60.61384,133.8088
10.759394169,31.58215,-68.97154,134.3874
10.779561520,25.24938,-76.9858,137.5216
10.799729347,2.496673,-83.36652,158.1576
10.819896698,-94.02444,-83.12764,-112.5567
10.840064526,-113.5963,-78.31983,-93.34931
10.860231876,-118.8561,-72.94884,-90.76872
10.880399704,-123.1158,-68.01333,-90.21006
10.900566578,-126.2181,-63.61666,-89.67657
10.920733929,-126.8919,-59.05809,-89.25126
10.940901756,-126.8209,-54.84984,-89.29311
10.961069107,-126.5403,-51.51575,-89.35277
10.981236935,-127.2817,-48.78427,-90.05529
11.001404285,-129.0214,-46.70107,-91.78672
11.021572113,-130.8041,-44.67368,-93.63641
11.039218426,-131.7169,-42.53648,-94.90731
11.059385777,-133.3405,-39.94289,-96.20808
11.079553604,-135.821,-37.70946,-98.08947
11.099720955,-138.0276,-35.99447,-100.475
11.119887829,-138.4232,-34.21528,-102.9786
11.140056133,-138.1217,-31.85275,-105.0941
11.160223007,-138.2698,-29.2698,-107.2666
11.180390835,-137.8401,-26.56203,-109.1247
11.200558186,-138.0104,-23.12616,-111.2961
11.220726013,-139.9021,-19.23405,-113.4316
11.240893364,-142.7683,-15.51147,-115.5486
11.261060715,-145.9827,-12.30739,-117.5043
11.281228542,-148.3783,-9.304936,-119.1899
11.301395416,-149.3343,-6.036398,-120.3838
11.321563244,-150.5387,-2.861084,-121.625
11.341730594,-151.9907,0.3398859,-123.0123
11.359377384,-153.3145,3.286197,-124.3096
11.379545212,-155.1978,6.347535,-125.6405
11.399712086,-157.0819,8.957135,-126.5959
11.419880390,-157.9922,11.35031,-127.4445
11.440047264,-158.0561,14.12238,-128.2667
11.460214615,-157.4261,18.08818,-128.6477
11.480382442,-155.7092,23.38011,-127.9049
11.500549793,-152.4509,29.53535,-125.7177
11.520717621,-147.4182,36.36613,-121.9029
11.540884495,-140.208,43.75834,-115.6358
11.561052799,-129.6646,49.96374,-104.8813
11.581219673,-115.8408,53.10312,-89.19447
11.601387024,-102.1262,53.03858,-73.45963
11.621554851,-90.2834,51.74541,-61.97954
11.639201641,-81.59274,50.28612,-53.92957
11.659368515,-73.87,48.00235,-45.7197
11.679536343,-67.96294,44.75853,-38.54477
11.699703693,-63.41567,40.43425,-32.90853
11.719871521,-59.44907,35.38824,-28.60412
11.740038872,-56.12887,29.63143,-25.27177
11.760206222,-54.03623,23.37865,-22.39789
11.780374050,-53.81149,16.76775,-19.5961
11.800540924,-54.59009,10.20209,-17.02254
11.820708752,-55.12229,3.734513,-15.26272
11.840876102,-55.12899,-2.79545,-14.68171
