Time (s),X (g),Y (g),Z (g)
5.321722984,-0.2329268,0.1766779,0.2594887
5.339369297,-0.25567,0.267526,0.2359727
5.359536648,-0.2074855,0.3273852,0.2777907
5.379704475,-0.1855845,0.3424427,0.3663201
5.399871826,-0.1520163,0.3439686,0.3267696
5.420039654,-0.1464188,0.3751783,0.2960064
5.440207004,-0.1496699,0.4278407,0.242854
5.460374832,-0.2341442,0.4209494,0.2219708
5.480541706,-0.2486649,0.3764607,0.2575281
5.500710010,-0.2698859,0.3738785,0.21233
5.520877838,-0.2921724,0.4317095,0.146295
5.541044712,-0.2807329,0.4193362,0.08710974
5.561212540,-0.2241226,0.4627821,0.06890203
5.581379890,-0.1608139,0.3433568,0.1500272
5.601547718,-0.06024134,0.1653885,0.1555332
5.621715069,-0.02955765,-0.01351559,0.2180239
5.639361381,-0.06610754,0.06108493,0.181504
5.659529686,-0.1493191,0.1816294,0.2048001
5.679696560,-0.1149238,0.1896724,0.02988288
5.699864387,-0.02225471,0.1505721,-0.009822482
5.720031738,0.07598487,0.1570328,-0.009839215
5.740199566,0.1654622,0.203636,-0.01481264
5.760367393,0.1760207,0.3034636,0.02371605
5.780534744,0.2235129,0.3070965,0.03340498
5.800702572,0.2354028,0.2540862,0.1124371
5.820869923,0.3296907,0.2679564,0.0569637
5.841037750,0.2847862,0.1788496,0.2986585
5.861205101,0.2260501,-0.0684545,0.260798
5.881372929,0.1830823,-0.04531586,0.217487
5.901539803,0.2271027,-0.1215888,0.2812615
5.921707630,0.2176212,-0.08046114,0.2341536
5.939354420,0.1822847,-0.04555804,0.2218043
5.959522247,0.04849689,-0.02613646,0.1784561
5.979689598,-0.091187,-0.1092008,0.1401216
5.999857426,-0.1671023,-0.1532592,0.09906256
6.020024776,-0.1390303,-0.1070259,0.09395063
6.040192604,-0.05019931,-0.07542473,0.1171548
6.060359478,-0.01814811,-0.02987587,0.1158903
6.080527306,-0.07326223,-0.05459237,0.1583312
6.100694656,-0.1143394,-0.08175194,0.1048016
6.120862484,-0.148109,-0.06186253,0.1455237
6.141029835,-0.08761849,-0.0494377,0.1813295
6.161197662,-0.02527557,-0.02805126,0.2181709
6.181365013,-0.1256849,-0.06767887,0.2075404
6.201532841,0.03424321,-0.2524198,0.4533336
6.221700192,-0.1957421,-0.142436,0.1798794
6.239346504,-0.2624708,-0.06491691,0.2025675
6.259514332,-0.2342978,-0.2299833,0.2873654
6.279682159,-0.2772233,-0.2339262,0.30483
6.299849510,-0.1182733,-0.1638203,0.4054386
6.320017338,-0.04471606,-0.2020698,0.3384354
6.340184688,0.04973412,-0.0134975,0.3537342
6.360352516,-0.06159073,-0.1098285,0.3030748
6.380519867,-0.07110465,-0.1534494,0.3091466
6.400687694,-0.1665292,-0.04770713,0.2182907
6.420854568,-0.1255899,-0.05773577,0.2266512
6.441022396,-0.06261623,-0.1088692,0.2400663
6.461189747,-0.04762894,-0.149476,0.226813
6.481357574,0.02434081,-0.1515441,0.2304346
6.501524925,0.01561093,-0.1990653,0.2282918
6.521692753,0.04109168,-0.2110412,0.2743571
6.539339542,-0.008129954,-0.2703572,0.3083748
6.559506416,0.004062653,-0.2299501,0.2837292
6.579674244,-0.04900295,-0.2510512,0.218486
6.599841595,-0.0795505,-0.1719495,0.2416514
6.620009422,-0.07759738,-0.1315489,0.2965655
6.640177250,-0.07720429,-0.08636689,0.2585034
6.660344601,-0.0299679,-0.03065312,0.302162
6.680512428,-0.05840057,-0.01757014,0.2412929
6.700679779,-0.05446959,0.0573222,0.3031633
6.720847607,-0.0748983,0.05541146,0.3615846
6.741014957,-0.08791131,0.0522669,0.2971746
6.761182785,-0.1939908,0.0212521,0.2633641
6.781349659,-0.2487182,-0.002877474,0.2536026
6.801517487,-0.2681105,-0.06528932,0.192491
6.821684837,-0.3680598,-0.02836943,0.1996109
6.839331627,-0.340614,-0.1495184,0.2241251
6.859499454,-0.4306479,-0.1457609,0.1696582
6.879666328,-0.5295401,-0.1334413,0.03691646
6.899834633,-0.503576,-0.1746113,0.0136449
6.920001507,-0.3709385,-0.3272675,0.1074015
6.940169334,-0.3684902,-0.3149142,0.129021
6.960336685,-0.3888018,-0.2976317,0.1680391
6.980504513,-0.388934,-0.1548866,0.2075165
7.000671864,-0.4006917,-0.02900368,0.2248733
7.020839691,-0.2735694,0.05776572,0.1958072
7.041007042,-0.2144116,0.1690795,0.1937646
7.061174870,-0.2093393,0.2186088,0.2067439
7.081341743,-0.1666203,0.227236,0.1619672
7.101510048,-0.1329228,0.3097903,0.175204
7.121676922,-0.09692968,0.4387342,0.2197291
7.139323711,-0.02565896,0.4314078,0.2826555
7.159491539,-0.0116279,0.4442302,0.2708193
7.179659367,-0.01527053,0.4818076,0.2417113
7.199826717,0.02698189,0.5485556,0.2088326
7.219994545,0.08185887,0.5355885,0.1474956
7.240161419,0.134285,0.4927211,0.1824508
7.260329723,0.1318137,0.4640546,0.1948571
