Time (s),W,X,Y,Z
4.381409645,0.8875917,0.4541931,-0.04512994,-0.02191991
4.399055958,0.8909703,0.4474539,-0.03053162,-0.04065034
4.419223785,0.8929142,0.4421547,-0.01104835,-0.06090205
4.439391136,0.8952888,0.4338814,0.01100956,-0.08192147
4.459558964,0.899071,0.4202804,0.0353877,-0.1020349
4.479726314,0.9037441,0.4016931,0.06676214,-0.118573
4.499894142,0.9086104,0.3828396,0.08931932,-0.1284945
4.520061493,0.910848,0.364643,0.122481,-0.1379035
4.540229320,0.9131852,0.3422544,0.1619027,-0.1391756
4.560397148,0.9158271,0.3165799,0.1996965,-0.1333674
4.580564022,0.9168929,0.2907196,0.2349044,-0.1274241
4.600732326,0.9164627,0.2661514,0.2671871,-0.1204082
4.620899200,0.9146075,0.2412136,0.3001866,-0.1087423
4.641067028,0.9105111,0.2133468,0.3385277,-0.08648104
4.661234379,0.9038079,0.1802797,0.3799875,-0.05354985
4.681402206,0.8931106,0.1402391,0.4233024,-0.01134959
4.699048996,0.8801042,0.1041067,0.4587162,0.02802449
4.719216824,0.8629915,0.06568509,0.4923853,0.07152202
4.739383697,0.8447466,0.03029892,0.517763,0.1184645
4.759552002,0.8255827,-0.004230662,0.5359837,0.1665659
4.779718876,0.8041759,-0.03925907,0.5477925,0.2197973
4.799886703,0.7807506,-0.07160328,0.5552578,0.2713257
4.820054054,0.7534063,-0.09856638,0.5633345,0.3192888
4.840221882,0.7245268,-0.122529,0.5704582,0.362288
4.860389233,0.6964297,-0.1457967,0.575017,0.3996397
4.880557060,0.6686879,-0.1675619,0.5781259,0.4326403
4.900724888,0.6411367,-0.1869937,0.5793851,0.4635921
4.920892239,0.6133397,-0.2024727,0.5802028,0.4927592
4.941060066,0.5808236,-0.2169736,0.5783049,0.527027
4.961227417,0.5495501,-0.2301897,0.5725883,0.5601586
4.981395245,0.5150704,-0.2391314,0.5636522,0.597028
5.001562119,0.4751338,-0.244232,0.5528035,0.6368944
5.019208908,0.4350435,-0.2464308,0.5440091,0.6713349
5.039376736,0.3852314,-0.2458038,0.5332627,0.7095318
5.059544563,0.3353539,-0.2408986,0.5229586,0.7434026
