Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
6.862932205,100.0234,15372286728.0913,4.158125,0.9375,1
6.862932205,100.0234,15372286728.0913,4.158125,0.9375,1
6.862932205,100.0234,15372286728.0913,4.158125,0.9375,1
7.038662434,100.0234,15372286728.0913,4.159375,0.9375,1
7.038662434,100.0234,15372286728.0913,4.159375,0.9375,1
7.038662434,100.0234,15372286728.0913,4.159375,0.9375,1
7.214529991,100.0234,15372286728.0913,4.16125,0,1
7.214529991,100.0234,15372286728.0913,4.16125,0,1
7.214529991,100.0234,15372286728.0913,4.16125,0,1
7.214529991,100.0234,15372286728.0913,4.16125,0,1
7.390464783,100.0234,15372286728.0913,4.158125,-0.3125,1
7.390464783,100.0234,15372286728.0913,4.158125,-0.3125,1
7.390464783,100.0234,15372286728.0913,4.158125,-0.3125,1
7.566073418,100.0234,15372286728.0913,4.16,0,1
7.566073418,100.0234,15372286728.0913,4.16,0,1
7.566073418,100.0234,15372286728.0913,4.16,0,1
7.566073418,100.0234,15372286728.0913,4.16,0,1
7.741878986,100.0234,15372286728.0913,4.16,0.625,1
7.741878986,100.0234,15372286728.0913,4.16,0.625,1
7.741878986,100.0234,15372286728.0913,4.16,0.625,1
7.917838573,100.0234,15372286728.0913,4.16,-0.625,1
7.917838573,100.0234,15372286728.0913,4.16,-0.625,1
7.917838573,100.0234,15372286728.0913,4.16,-0.625,1
7.917838573,100.0234,15372286728.0913,4.16,-0.625,1
8.093670845,100.0234,15372286728.0913,4.158125,-1.25,1
8.093670845,100.0234,15372286728.0913,4.158125,-1.25,1
8.093670845,100.0234,15372286728.0913,4.158125,-1.25,1
8.269268990,100.0234,15372286728.0913,4.159375,0.625,1
8.269268990,100.0234,15372286728.0913,4.159375,0.625,1
8.269268990,100.0234,15372286728.0913,4.159375,0.625,1
8.269268990,100.0234,15372286728.0913,4.159375,0.625,1
8.445079327,100.0234,15372286728.0913,4.16,1.25,1
8.445079327,100.0234,15372286728.0913,4.16,1.25,1
8.445079327,100.0234,15372286728.0913,4.16,1.25,1
8.621018886,100.0234,15372286728.0913,4.159375,-0.625,1
8.621018886,100.0234,15372286728.0913,4.159375,-0.625,1
8.621018886,100.0234,15372286728.0913,4.159375,-0.625,1
8.621018886,100.0234,15372286728.0913,4.159375,-0.625,1
