Time (s),XX,XY,XZ,YX,YY,YZ,ZX,ZY,ZZ
2.780607700,0.5926812,0.3988564,0.6920263,-0.7811904,0.4677449,0.4013188,-0.1665185,-0.7824505,0.5910261
2.800774574,0.6337646,0.3721116,0.6699668,-0.7431934,0.5092806,0.4220386,-0.187046,-0.7694063,0.6018498
2.820942402,0.6771269,0.354584,0.6359695,-0.7003728,0.5534663,0.4389474,-0.1991605,-0.7466372,0.6260195
2.841110229,0.71867,0.327404,0.6039271,-0.6551414,0.5883909,0.4624634,-0.2066665,-0.7320446,0.6405734
2.861277580,0.7585015,0.2954515,0.5705462,-0.6057841,0.6218567,0.4851603,-0.2141028,-0.7176792,0.6541707
2.881445408,0.7967192,0.2570788,0.5357528,-0.5527323,0.6485077,0.5126465,-0.2181918,-0.7086818,0.6625327
2.901612759,0.8325575,0.2174057,0.4972147,-0.4958643,0.6736227,0.5376455,-0.2204683,-0.6983401,0.6726316
2.919259071,0.8620196,0.1840897,0.4587748,-0.4430544,0.695691,0.5552295,-0.21924,-0.686067,0.6854762
2.939427376,0.8949794,0.1448556,0.4065067,-0.3747082,0.7241515,0.5688316,-0.2140667,-0.6655769,0.7068738
2.959595203,0.9228921,0.1109306,0.3507066,-0.3053,0.7584855,0.5653592,-0.2051649,-0.6328772,0.7386791
2.979762077,0.9454855,0.07978662,0.2942263,-0.2371961,0.7940893,0.5486886,-0.191502,-0.5924148,0.7748551
2.999929905,0.9635481,0.04711441,0.2368793,-0.1709876,0.8205077,0.5340895,-0.170572,-0.5588099,0.8040329
3.020097256,0.9774858,0.01389533,0.1760405,-0.1052082,0.8405657,0.5195825,-0.1418259,-0.529945,0.8286793
3.040265083,0.9886051,-0.003215682,0.09611036,-0.04540519,0.8590124,0.4974914,-0.08476974,-0.4995488,0.854842
3.060432434,0.9920404,-0.02908251,0.03967628,0.007150227,0.8774409,0.466244,-0.04867107,-0.465391,0.8765759
3.080600262,0.9906913,-0.07076285,0.009823927,0.05960638,0.8936812,0.4301262,-0.03938236,-0.4284322,0.8956056
3.100768089,0.9877319,-0.1026405,-0.02106803,0.1029091,0.9124491,0.3794038,-0.01971413,-0.3794765,0.917972
3.120935440,0.9845036,-0.1180478,-0.05858663,0.1306016,0.9328405,0.3157773,0.01763222,-0.3206817,0.9400888
3.141103268,0.9801716,-0.1317459,-0.09246877,0.1509043,0.9505656,0.2459601,0.05599409,-0.2567324,0.9579909
3.161270618,0.9741962,-0.1468267,-0.1267588,0.1678445,0.9633752,0.174624,0.09723227,-0.1926323,0.9696152
3.181438446,0.9630464,-0.1474206,-0.1938239,0.1690509,0.9737376,0.09971863,0.1752778,-0.1295731,0.9691266
3.201605320,0.9445214,-0.1439101,-0.2721279,0.1545619,0.9810362,0.0177929,0.2662224,-0.05912579,0.9552183
3.219252110,0.9212852,-0.1443166,-0.3427052,0.1301695,0.9826421,-0.06400846,0.3483246,0.01462548,0.930288
3.239419937,0.8865055,-0.1475375,-0.4238105,0.08359008,0.9758756,-0.1653824,0.4409029,0.112122,0.8833625
3.259587765,0.8448282,-0.1626708,-0.4973532,0.0281882,0.9567039,-0.2659422,0.5225202,0.2122687,0.8183215
3.279755116,0.8018653,-0.1801216,-0.5589406,-0.03758386,0.9274649,-0.3541124,0.5860425,0.3071878,0.7419168
3.299922943,0.761563,-0.1974158,-0.6075916,-0.1064999,0.8918104,-0.4249379,0.6299193,0.3910773,0.6626058
3.320090294,0.725945,-0.2043028,-0.6477832,-0.1782175,0.8562468,-0.4717624,0.6554397,0.4610657,0.5891508
3.340258121,0.6955636,-0.2016342,-0.6812478,-0.2638506,0.8102603,-0.5115185,0.6596498,0.5390844,0.5138478
3.360425949,0.6762126,-0.1939892,-0.7027082,-0.3400401,0.7620513,-0.5401533,0.6448281,0.6080799,0.452371
3.380593300,0.6607766,-0.1634343,-0.7248875,-0.4214277,0.7145324,-0.5479762,0.6120223,0.6716908,0.4059279
3.400761127,0.6432108,-0.1263803,-0.7478132,-0.5016581,0.6623651,-0.5462592,0.568802,0.7308133,0.3649246
3.420928001,0.6230868,-0.08835191,-0.7700709,-0.5788262,0.6018412,-0.5403176,0.5155341,0.7868779,0.3257387
3.441095829,0.6031136,-0.04765674,-0.7894109,-0.6442661,0.5437979,-0.5280074,0.4586523,0.8316247,0.2987942
3.461263180,0.5797623,0.0006261468,-0.80822,-0.7006766,0.4937545,-0.5051566,0.4028303,0.8637885,0.2879408
3.481431007,0.553414,0.05450961,-0.8247936,-0.7510486,0.4453258,-0.4773499,0.3452273,0.8882373,0.2883799
3.501598358,0.5270348,0.1138798,-0.8360419,-0.7938788,0.3984922,-0.4489185,0.2858168,0.9048772,0.3012134
3.519245624,0.4936685,0.1919822,-0.8422348,-0.831725,0.3654676,-0.4067639,0.2333455,0.9057407,0.3407932
3.539412975,0.4326511,0.2885156,-0.8484746,-0.8803962,0.3108715,-0.345572,0.1674898,0.9007087,0.3889766
3.559580803,0.3721045,0.3582498,-0.8508471,-0.916984,0.2476971,-0.2989499,0.1068834,0.8954819,0.4208384
3.579747677,0.3072304,0.412926,-0.8522236,-0.9455025,0.1821267,-0.2547199,0.05308509,0.8878903,0.4461828
3.599915504,0.2317883,0.4536693,-0.8556578,-0.9684724,0.1115337,-0.2052424,0.005225778,0.8799132,0.4645934
3.620082855,0.1492256,0.4832361,-0.8581744,-0.9842803,0.04126045,-0.1498891,-0.03424454,0.8704926,0.4807108
3.640250683,0.06296599,0.5030615,-0.8577849,-0.9924111,-0.02446125,-0.08911785,-0.06313437,0.8600878,0.4961571
3.660418510,-0.02476871,0.5166169,-0.8520068,-0.9930247,-0.0844914,-0.02424917,-0.08191761,0.8484062,0.5131184
3.680585861,-0.1120446,0.5303512,-0.8367704,-0.9868378,-0.1354385,0.04445723,-0.08722526,0.8333983,0.5361698
3.700753689,-0.2054954,0.5485927,-0.8071299,-0.9727724,-0.1827341,0.1216943,-0.07827148,0.8124911,0.568465
3.720921040,-0.3022206,0.5643728,-0.7651402,-0.9487489,-0.2326102,0.2014746,-0.06190094,0.7887964,0.6026265
3.741088867,-0.3983198,0.572672,-0.7136735,-0.9140928,-0.2855027,0.2794701,-0.04144394,0.7653208,0.6336779
3.761256218,-0.4856184,0.5783993,-0.6528089,-0.8720225,-0.3374815,0.3481582,-0.01679143,0.7396564,0.6643794
3.781424046,-0.5606145,0.5871181,-0.5814121,-0.8261872,-0.3884579,0.4029768,0.01274464,0.7072962,0.6986503
3.801591873,-0.6249266,0.5991702,-0.4979278,-0.7775743,-0.4411511,0.4438407,0.04811615,0.6652905,0.7371274
3.819238186,-0.6690394,0.6173869,-0.4110807,-0.7364662,-0.4878756,0.4649094,0.08815642,0.6142935,0.7764596
