Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT)
9.440943241,201.1717,1.260726,53.41069
9.461111069,192.2585,1.25216,54.97459
9.481278419,189.7737,1.250508,54.97459
9.501446247,192.2496,1.274697,55.45727
9.519092560,184.1774,1.272649,55.45727
9.539259910,213.5716,1.329267,55.45727
9.559427738,234.8435,1.317847,53.88654
9.579595089,229.6019,1.321522,53.88654
9.599762916,217.1674,1.289408,53.06723
9.619930267,202.3211,1.253156,53.06723
9.640098095,196.104,1.282208,53.06723
9.660264969,190.4101,1.271446,50.0945
9.680432320,189.4613,1.242317,50.0945
9.700600147,183.0764,1.200038,48.43365
9.720767498,182.7623,1.16652,48.43365
9.740935326,186.9868,1.143787,47.29177
9.761102676,224.938,1.184847,47.29177
9.781270504,185.1354,1.082707,47.29177
9.801437378,199.0625,1.044071,46.77659
9.819084167,209.4453,1.074104,46.77659
9.839251995,225.877,1.010668,46.00045
9.859419346,230.4303,1.01354,46.00045
9.879587173,236.5578,1.045891,46.00045
9.899754524,257.2529,1.028899,45.32047
9.919921398,264.1892,1.045312,45.32047
9.940089226,283.1472,1.061495,46.32141
9.960256577,297.9005,0.9894012,46.32141
9.980424404,314.203,0.9495796,46.01034
10.000591755,335.2026,0.927094,46.01034
10.020759583,325.7804,0.8417647,46.01034
10.040926933,299.6532,0.8053249,45.86285
10.061094761,277.591,0.7940509,45.86285
10.081261635,269.9276,0.7534491,47.27554
10.101429939,255.469,0.7215623,47.27554
10.119076252,267.7715,0.7156908,47.27554
10.139243603,290.2618,0.7288688,46.97369
10.159411430,303.7064,0.7052692,46.97369
10.179578781,291.8978,0.7509249,46.86361
10.199745655,282.4268,0.8132163,46.86361
10.219913483,277.3264,0.8412201,46.86361
10.240080833,283.5289,0.8831723,47.02092
10.260248661,277.0555,0.9367673,47.02092
10.280416012,276.2155,1.016203,47.96864
10.300583839,258.2216,1.020303,47.96864
10.320751190,246.0692,1.040102,48.40924
10.340919018,251.1951,1.057793,48.40924
10.361085892,249.0614,1.13966,48.40924
10.381253242,229.4446,1.126818,47.6719
10.401421070,198.2243,1.141979,47.6719
10.419067860,194.9698,1.100219,47.54691
10.439234733,194.6168,1.126236,47.54691
10.459403038,177.1993,1.144646,47.54691
10.479569912,153.8645,1.145187,48.14774
10.499737739,140.3578,1.10064,48.14774
10.519905090,135.8044,1.131336,47.51881
10.540072918,154.7647,1.131894,47.51881
10.560240269,161.448,1.104497,47.51881
10.580407619,163.5462,1.188856,47.13108
10.600575447,168.1439,1.181245,47.13108
10.620742321,187.9738,1.161884,46.49718
10.640910149,224.4721,1.120387,46.49718
10.661077499,283.7022,1.192469,46.45472
10.681245327,359.7959,1.200776,46.45472
10.701412678,412.1441,1.166465,46.45472
10.719058990,447.761,1.084945,46.54966
10.739227295,487.7933,1.108733,46.54966
10.759394169,493.8051,1.07199,47.02021
10.779561520,461.2867,1.005026,47.02021
10.799729347,412.019,0.9311007,47.02021
10.819896698,377.8714,0.8417343,48.50407
10.840064526,350.4435,0.7467648,48.50407
10.860231876,349.7675,0.7478506,47.7306
10.880399704,309.7532,0.7766454,47.7306
10.900566578,239.2366,0.8381013,47.7306
10.920733929,218.1105,0.6793757,48.25779
10.940901756,183.5445,0.6754476,48.25779
10.961069107,139.6913,0.836365,46.77559
10.981236935,153.5774,0.8368855,46.77559
11.001404285,202.714,0.9071239,46.75651
11.019050598,160.8699,1.095658,46.75651
11.039218426,153.2779,0.9179295,46.75651
11.059385777,191.3091,0.8239212,46.32901
11.079553604,226.6996,0.8259751,46.32901
11.099720955,176.0343,0.9354747,46.27604
11.119887829,126.8586,0.9685816,46.27604
11.140056133,144.7941,0.8632646,46.27604
11.160223007,160.9547,0.8849214,45.65983
11.180390835,170.9223,0.7495785,45.65983
11.200558186,226.3233,0.6667212,47.05638
11.220726013,264.1232,0.7651111,47.05638
11.240893364,264.9882,0.9281173,47.59613
11.261060715,238.4062,1.033153,47.59613
11.281228542,184.3612,1.198665,47.59613
